Time period,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Australia,80.9,79.1,78.9,84.1,91.7,100.0,105.5,114.3,112.7,108.1,113.9,133.8,142.7,144.5
Austria,77.3,81.5,86.9,91.2,94.7,100.0,106.7,112.1,118.8,126.0,135.5,151.0,168.5,163.7
Belgium,91.6,94.9,97.1,98.6,98.2,100.0,102.3,105.9,109.1,113.2,118.1,126.0,132.9,136.0
Canada,79.4,83.7,87.6,90.1,94.9,100.0,110.0,122.7,127.2,129.0,137.4,157.6,175.4,171.8
Chile,57.2,64.2,70.9,78.0,88.4,100.0,106.6,115.3,126.8,137.5,146.6,164.0,175.3,188.0
Colombia,65.3,70.5,77.7,85.1,92.0,100.0,109.6,117.0,123.3,130.0,133.2,141.1,151.3,162.4
Czechia,95.2,95.3,93.8,93.9,96.2,100.0,107.2,119.7,130.0,141.9,153.9,184.2,215.3,211.8
Denmark,90.6,89.1,86.7,90.1,93.5,100.0,104.6,109.7,114.6,117.2,122.3,136.5,143.1,137.1
Estonia,63.9,69.3,74.4,82.3,93.6,100.0,104.7,110.5,117.1,125.3,132.8,152.8,186.8,197.7
Finland,93.9,96.9,99.2,100.4,100.0,100.0,101.3,102.4,103.3,103.8,105.6,110.4,111.7,105.4
France,100.6,106.6,106.0,103.8,101.9,100.0,100.9,104.0,107.1,110.7,116.8,124.6,132.5,131.6
Germany,83.8,86.8,89.8,92.5,95.5,100.0,107.4,114.0,121.6,128.6,138.6,154.7,162.5,148.7
Greece,152.9,144.5,127.7,113.8,105.3,100.0,97.6,96.6,98.4,105.5,110.2,118.6,132.8,151.1
Hungary,93.7,90.4,87.1,84.9,88.4,100.0,113.4,127.2,145.5,170.2,178.6,208.0,254.5,272.5
Iceland,72.0,75.4,80.6,85.2,92.4,100.0,109.8,131.2,142.0,148.3,157.8,177.6,214.8,231.6
Ireland,106.0,87.9,76.0,77.0,89.7,100.0,107.5,119.2,131.4,134.4,134.8,146.0,164.0,169.0
Israel,71.4,78.9,81.4,88.8,94.5,100.0,107.5,111.6,110.7,112.8,116.3,126.1,147.9,152.9
Italy,118.1,119.7,116.7,109.1,104.0,100.0,100.3,99.2,98.6,98.5,100.4,103.0,106.9,108.3
Japan,95.3,95.4,94.6,96.1,97.6,100.0,102.2,104.8,106.8,108.6,108.6,115.1,124.8,128.5
Korea,91.2,95.6,96.8,95.8,97.3,100.0,101.6,102.9,104.3,104.0,107.5,116.9,119.3,110.9
Latvia,80.4,88.7,91.4,97.6,103.5,100.0,108.5,118.0,129.3,140.9,145.8,161.6,184.0,190.9
