Time period,Australia,Austria,Belgium,Canada,Chile,Colombia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,United Kingdom,United States,Euro area,Euro area (17 countries),OECD,Non-OECD economies,·  Bulgaria,·  Croatia,·  Romania,·  Russia,·  South Africa
2010,94.2,82.9,97,91.8,84.7,94.3,104,100.7,89,102.6,103.9,92.9,117.5,117.5,100,108.1,86.8,119,97.2,115.2,102.7,107,87.9,120,83.1,96,126.6,106.4,107.9,118.5,134.3,85.7,83.3,99.9,99.5,105.8,106.2,101,,124.1,116.5,153,156.4,106.2
2011,86.6,86.4,98.7,93.6,85,93,103.1,96,88.5,102.1,108.3,93.3,123.5,105.3,95.3,93.7,91,118.1,97.7,114.9,112.1,106.2,88.9,115.1,79.2,99.6,120.6,103.5,105.6,119.6,123.4,84.3,88.9,98,91.4,105.3,105.7,97.6,,108.9,115.8,131.7,121.8,102.7
2012,85.2,88.3,99,95.3,84.3,94.7,100.2,91.8,91.3,102.5,107,94.7,122.6,98.8,93.4,79.3,91.2,119.4,96.4,112,106.8,100.2,90.2,106.6,81.5,102.1,111.3,98.2,100.1,114.7,110.9,81.9,92.5,95.1,90.3,103.6,103.9,96.2,,105.7,114.4,120,116,100.5
2013,88.4,93.8,100,95.1,87.7,97.4,100.4,93.7,91.8,102.1,105.6,96.6,116.1,92.6,94.2,81.2,94.5,111.6,97.7,106.4,109.8,96.1,91.5,99.4,86.7,101.3,105.2,96.7,100.7,108.9,100.4,84.8,94.1,94.3,97.4,101.4,101.6,98.3,,101.5,109.3,111.9,111.5,100.6
2014,93.1,95.7,98.8,97.9,93,99.9,98.9,96.9,100.3,101.3,102.7,97.5,106.3,92.4,96.1,93.8,96.9,105.5,99.1,103.4,110.2,100.3,94.6,98,92.6,100.5,100.9,100.8,99.9,100.8,100.5,90.7,96.6,99.2,98.1,100.3,100.4,98.9,,101.8,107,105.9,104.1,101.5
2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100
2016,105.1,103.8,99.8,111,99.2,104.3,103.1,99.7,99.9,100,99.6,105,98.3,107,,103.7,104.6,98.7,101,99.3,102.1,96.8,106,102.9,108.8,106.4,96.8,103.2,103.5,98.8,102,105.1,101.4,105.8,103.4,101.9,101.8,102.8,,101.5,97.6,96.8,98.1,99.7
2017,112.4,106.8,100.1,119.5,105.4,104.8,106.7,102.8,97.9,99,100.5,108.2,97,109.3,,109.3,,95.4,102.4,98,103.1,99.7,106.9,109.3,111.6,108.3,95.3,109.5,104.6,102,105.2,109.4,103.9,108.4,105.3,103.5,103.4,104.8,,102,96.3,89.2,98.1,98.8
2018,107.6,109.7,100.2,122.1,110.5,105.3,108.1,104.7,92.1,97,101.3,111.2,97.2,111.5,,117.3,,93.3,103.1,95.5,104.4,99.7,111.9,114.5,110.3,107,96.1,116.2,102.8,104.5,109.6,105.2,106,108.1,106.4,105.4,105.2,105.7,,99,95.5,85.4,100.6,97.6
2019,100.5,114.6,100.1,120.1,116.4,106.5,111.2,104,93,94.6,101.7,115.1,98.1,117.1,,113.8,,92.3,102.9,91.5,107.6,96.5,119,117.7,108.4,105.8,97.8,122.6,107.3,105.7,110.6,104.2,108.6,106,107.4,107.1,106.7,106.1,,96.7,98.9,77.4,97.7,96.2
2020,100.2,123.5,102.9,120.4,108.6,111.4,115.5,108,97.4,95.8,106.9,123.9,108,119.4,,110.5,,96,98.1,91.3,109,94.6,129.2,123.2,112.5,108,98.1,136.6,114.8,107.1,116.5,109.3,110.7,109.2,107.6,113,112.7,108.1,,95.3,104,78,,100.7
2021,113.4,132.4,104.7,134.1,106.1,104.7,126.6,118.6,103.3,97.3,108.8,134.4,106.7,121.9,,114.9,,93.3,106.9,96,112.6,101.3,146.9,134.4,136,112.1,103.6,142.7,116.7,112.1,115.7,113.7,119,113.9,116.7,116.8,116.6,115.4,,91.8,102.1,75,,97.6
2022,118,136.5,102.1,144.4,109.1,91,133.6,113.6,111.3,95.2,109.9,131.9,110.3,124.9,,121.8,,90.9,113.7,93,116.3,107.5,153.7,141.2,131,117.2,103.3,150.5,119.2,117.2,120.8,111.2,122.3,118.4,132.6,117.6,117.3,122.3,,84.6,102.8,69.9,,95.7
2023,120,124,97,137.9,113.5,,123.3,103.4,112.5,86.1,100.9,113.9,116.7,113.6,,114.6,,87.5,112.9,84.9,105.5,107.1,130.4,126.5,120.2,112.5,98.6,154.4,109.7,116.2,114.2,100.3,121.1,109.8,129,108.4,107.8,116.4,,81.3,100.2,62.6,,92.4
