Time period,Australia,Austria,Belgium,Canada,Chile,Colombia,Costa Rica,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Türkiye,United Kingdom,United States,Euro area,Non-OECD economies,·  Bulgaria,·  Croatia,·  Romania,·  Russia,·  South Africa
2010,85.3,82.8,93.2,93.5,81,84.1,80.9,89.9,89.4,51.2,85.4,94.2,93.8,123.1,90.5,75.9,91.2,87.5,95.2,102,85.7,77.4,63.1,93.1,90.4,85.8,89.9,88.2,91,90.9,98.3,101.9,99.8,90.3,95.7,74.8,87.5,87.2,93.5,,96.4,96.8,93.6,65.9,78.3
2011,89.2,85.6,94.3,94.6,83.2,86.9,84.9,92.3,92.1,62.3,88.3,95.3,95,124.2,92.2,79.6,104,91.1,96.8,101.6,89.1,81.7,64.6,94.8,92.3,87.3,91.6,90.2,93.8,91.7,99.1,101.5,100.8,92.4,97,78.1,89.7,88.7,94.8,,97.7,98,94.2,71.2,82.5
2012,92.9,89.3,95.7,95.9,86,90.2,89.5,96.3,94.5,73.6,91.5,96.8,96.1,121.6,95.8,84.2,100.8,94.5,98.9,101.1,92.8,89.5,71.2,96.1,94,89.3,93.7,91.9,96.2,93.6,99.7,99.8,101.4,94.7,97.6,81.9,92.7,91,96.1,,98.5,97.9,96.5,76.1,86.4
2013,96,92.1,97,97.4,89.5,93.6,93.8,98.3,96.5,84,94.2,98.3,97.4,113.3,97.7,90.4,100,96.6,100.2,100.7,95.3,94.6,75.8,97.4,96,92.7,95.7,94.7,97.6,94.7,100,98.8,101.2,96.9,98,86.9,95,93.6,97.5,,99,97.9,97,81.4,90.7
2014,98.4,95.8,99,98.8,94.6,96.7,97.1,99.2,98.1,93.2,97.1,99.4,98.8,104.6,98,96.2,99.3,98.4,99.9,100.3,97.5,99.3,84.7,98.4,98,96.8,97.7,97.3,98.7,98.9,100,98.1,100.5,98.5,99.2,92.9,97.2,96.5,98.9,,99.3,99.4,99,89.5,95.2
2015,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,100,100,100,100,100
2016,100.8,103.1,100.9,100.7,104.2,104,102.6,101.2,101.3,106.5,102.3,100.3,101.1,97.4,105.2,104.3,102.7,101.3,100.3,99.7,101.9,98.6,110.4,100.9,102.2,102.1,102.2,101.9,101.3,101.7,100.2,101.6,99.9,100.9,100.3,108.7,101.7,103.8,101.1,,100.6,98.9,100.9,102.7,105
2017,101.4,107.3,102,101.3,108.3,108.3,105.1,103.4,103,114.3,104.4,100.5,102.5,95.2,108.4,108.3,106.6,102.9,100.5,99.4,103.5,98.3,110.8,102,104.7,103.9,104.5,104.1,104.3,102.7,100.6,107,100.3,101.7,101.4,118.6,102.7,107.7,102.3,,101.6,98.6,102.4,104.2,110.4
2018,102.1,111.3,103.1,102.5,113.2,112.3,107,106.4,104.2,121.9,106.4,100.2,104.1,92.2,113.9,113.9,111.3,104.4,100.9,99.3,104.1,102.4,117.2,103.3,107.4,106,106.9,105.9,108.4,104.7,100.8,113.6,101.6,102.6,101.8,130.1,103.2,111.6,103.5,,103.5,101.2,104.9,106.2,115.4
2019,102.4,114.6,104.2,105.3,118.4,115.6,108.1,110.4,105.1,130.7,108.5,100.7,105.6,92.2,124.6,120.4,116.4,105.9,101.2,99.3,104,107.1,126.2,104.7,110.4,108.6,109.8,107.8,113.7,108,101.4,118.4,103.2,104.2,102.3,143.2,103.9,115.8,104.9,,106.9,106.1,107.7,108,119.6
2020,101.5,119.3,107,107,122.4,117.9,109.3,113.8,106.1,125.2,110,101.1,107,92.2,129.9,124.6,117.4,107,101.4,99.3,104.3,104.8,129.5,105.8,113.2,111.5,113.5,109.4,119.9,110.8,103,115.7,104.3,105.8,103.1,156.6,105.4,119.4,106.2,,109.6,108.4,110.1,108.9,122.2
2021,101.3,121.7,109.2,108.8,125.7,119.6,110.5,116.5,107.5,129.9,110.9,101.9,108.5,92.3,132.4,128.5,120.5,107.9,101.4,99.2,105.7,106.5,131.9,107.3,115.5,113.6,117,110.8,124.6,112.8,103.9,119.9,105,107.2,104.1,172.6,107.1,122.1,107.5,,111.4,108.9,112.9,113.4,123.2
2022,103.6,122.7,113,113.9,130.8,123.1,114,122.3,109.7,158.6,112,102.6,110.4,93.5,146.4,134.6,131.9,110.7,102.6,99.3,107.7,109.6,153.2,109.2,118.8,115.7,122.1,113.2,142.5,115.8,108.2,142.6,106.4,108.9,105.6,221.2,110.9,129.4,109.3,,118.6,112.4,118.5,,125.9
2023,110.5,132.3,119.7,121.1,141.5,130.4,120.3,131,112.7,159,114.3,104.8,112.6,97.9,166.5,145.8,153.6,117.2,105.1,99.3,108.2,112.7,168.4,111.1,122.9,118.5,127.4,117.7,158.9,121.1,113.9,160.2,108.6,113.2,107.3,405,117.3,139.7,112.2,,128.7,119.4,130.2,,129.3
