area,year,cpi_w,obs_status
ESP,2010,3.00279,A
ESP,2011,2.893019,A
ESP,2012,2.798856,A
ESP,2013,2.744643,A
ESP,2014,2.765979,A
ESP,2015,2.794227,A
ESP,2016,2.848144,A
ESP,2017,2.903936,A
ESP,2018,2.863398,A
ESP,2019,2.937284,A
ESP,2020,2.667948,A
ESP,2021,2.719054,P
ESP,2022,2.764077,E
NLD,2010,1.267261,A
NLD,2011,1.250798,A
NLD,2012,1.213865,A
NLD,2013,1.201546,A
NLD,2014,1.17288,A
NLD,2015,1.159422,A
NLD,2016,1.160513,A
NLD,2017,1.183561,A
NLD,2018,1.206984,A
NLD,2019,1.217873,A
NLD,2020,1.23651,A
NLD,2021,1.236231,P
NLD,2022,1.290907,E
OECD,2010,100,A
OECD,2011,100,A
OECD,2012,100,A
OECD,2013,100,A
OECD,2014,100,A
OECD,2015,100,A
OECD,2016,100,A
OECD,2017,100,A
OECD,2018,100,A
OECD,2019,100,A
OECD,2020,100,A
OECD,2021,100,P
OECD,2022,100,E
COL,2010,1.154438,A
COL,2011,1.181907,A
COL,2012,1.253535,A
COL,2013,1.285717,A
COL,2014,1.319858,A
COL,2015,1.3314,A
COL,2016,1.332887,A
COL,2017,1.298994,A
COL,2018,1.328398,A
COL,2019,1.356461,A
COL,2020,1.381989,A
COL,2021,1.470875,P
COL,2022,1.608142,E
FRA,2010,4.732724,A
FRA,2011,4.709908,A
FRA,2012,4.608632,A
FRA,2013,4.637094,A
FRA,2014,4.561934,A
FRA,2015,4.459837,A
FRA,2016,4.512703,A
FRA,2017,4.443992,A
FRA,2018,4.415183,A
FRA,2019,4.541087,A
FRA,2020,4.529614,A
FRA,2021,4.460775,P
FRA,2022,4.457717,E
JPN,2010,9.11729,A
JPN,2011,8.97639,A
JPN,2012,9.131097,A
JPN,2013,9.545096,A
JPN,2014,9.14535,A
JPN,2015,8.953515,A
JPN,2016,8.124127,A
JPN,2017,7.870999,A
JPN,2018,7.710654,A
JPN,2019,7.306653,A
JPN,2020,7.464746,A
JPN,2021,6.939548,P
JPN,2022,6.786487,E
OECDE,2010,37.07989,A
OECDE,2011,37.09493,A
OECDE,2012,36.56327,A
OECDE,2013,36.39608,A
OECDE,2014,36.21448,A
OECDE,2015,36.02229,A
OECDE,2016,36.64194,A
OECDE,2017,36.84495,A
OECDE,2018,36.84637,A
OECDE,2019,37.68874,A
OECDE,2020,36.74358,A
OECDE,2021,36.55104,P
OECDE,2022,37.7995,E
GRC,2010,0.7307174,A
GRC,2011,0.669849,A
GRC,2012,0.6050855,A
GRC,2013,0.589096,A
GRC,2014,0.5866694,A
