STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,AGE,,SEX,,SOCIO_ECON_STATUS,,DEATH_CAUSE,,CALC_METHODOLOGY,,GESTATION_THRESHOLD,,HEALTH_STATUS,,DISEASE,,CANCER_SITE,,TIME_PERIOD,,OBS_VALUE,,DECIMALS,,OBS_STATUS,,OBS_STATUS2,,OBS_STATUS3,,UNIT_MULT,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,JPN,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,6.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,JPN,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,6.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,82.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,81.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,USA,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,-4.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,USA,,A,,LFEXPDMF,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,-5.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,82.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,82.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,83.6,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,83.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,83.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,78.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2012,,76.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,82.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,KOR,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,82.7,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2014,,77.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2013,,77.5,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2015,,78,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2023,,78.8,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2022,,78.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,77.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,78.9,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,EST,,A,,LFEXP,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,79,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2021,,3.3,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2020,,3.4,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2019,,3.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2018,,3.1,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2017,,3.2,,,,,,,,,,,
DATAFLOW,OECD.ELS.HD:DSD_HEALTH_STAT@DF_LE(1.0),,I,NLD,,A,,LFEXPDFM,,Y,,Y0,,_T,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,_Z,,2016,,3.2,,,,,,,,,,,
