countryname,year,lifeladder,loggdppercapita,socialsupport,healthylifeexpectancyatbirth,freedomtomakelifechoices,generosity,perceptionsofcorruption,positiveaffect,negativeaffect,code,house_price,ptr_ratio,r_house_price,rent_price,gini,life_expectancy,social_expenditure,housing_expenditure_ratio,ownership,pri_ratio,employment_rate,idcode,gini_dum,social_expenditure_dum,gini_dum_int,socialexp_dum_int,owner_dum,owner_dum_int,gini_dum_int_sq,ln_house_price,ln_r_house_price,r_house_price_growth
Australia,2012,7.1960001,10.744,.94499999,70.360001,.935,.26800001,.368,.72799999,.214,AUS,78.900002,84.900002,83.099998,92.900002,.326,82,21.063999,23.355175,62.900002,85.199997,72.345581,Australia,1,1,.32600001,21.063999,1,62.900002,.10627601,4.3681812,4.4200449,
Australia,2013,7.3639998,10.752,.92799997,70.440002,.93300003,.26300001,.43200001,.76999998,.177,AUS,84.099998,87.599998,86.599998,96,,82.099998,21.326,23.455395,62.400002,88.400002,71.970444,Australia,0,1,0,21.326,1,62.400002,0,4.4320064,4.4612999,.041255113
Australia,2014,7.289,10.763,.92400002,70.519997,.92299998,.31299999,.442,.74000001,.245,AUS,91.699997,93.199997,92.900002,98.400002,.337,82.300003,22.372999,23.435438,62.799999,93.099998,71.566353,Australia,1,1,.33700001,22.372999,1,62.799999,.11356901,4.5185223,4.5315237,.070223868
Australia,2015,7.309,10.77,.95200002,70.599998,.92199999,.32699999,.35699999,.75,.20999999,AUS,100,100,100,100,,82.400002,22.962,23.331327,63.5,100,72.157959,Australia,0,1,0,22.962,1,63.5,0,4.6051702,4.6051702,.073646523
Australia,2016,7.25,10.781,.94199997,70.675003,.92199999,.233,.39899999,.736,.236,AUS,105.5,104.7,104.8,100.8,.33,82.400002,22.414,23.403124,63,105.1,72.384537,Australia,1,1,.33000001,22.414,1,63,.10890001,4.658711,4.6520538,.046883617
Australia,2017,7.257,10.787,.94999999,70.75,.91100001,.31200001,.41100001,.72799999,.22499999,AUS,114.3,112.7,112.2,101.4,,82.5,21.674,23.610359,62.799999,112.4,72.771057,Australia,0,1,0,21.674,1,62.799999,0,4.7388268,4.720283,.068229161
Australia,2018,7.177,10.801,.94,70.824997,.91600001,.141,.405,.70599997,.18700001,AUS,112.7,110.4,108.8,102.1,.325,82.699997,21.062,23.712233,62.5,107.6,73.489258,Australia,1,1,.32499999,21.062,1,62.5,.10562499,4.7247295,4.6895113,-.030771604
Australia,2019,7.2340002,10.807,.94300002,70.900002,.91799998,.115,.43000001,.727,.20200001,AUS,108.1,105.5,102.5,102.4,,82.900002,24.212999,24.914545,62.700001,100.5,74.110626,Australia,0,1,0,24.212999,1,62.700001,0,4.6830568,4.6298628,-.059648562
Austria,2012,7.401,10.884,.94499999,70.099998,.92000002,.112,.77100003,.71200001,.15700001,AUT,86.900002,97.199997,91.400002,89.300003,.276,81.099998,28.424999,21.46044,49.599998,88.300003,71.425003,Austria,1,1,.27599999,28.424999,1,49.599998,.076175995,4.4647579,4.5152454,
Austria,2013,7.4990001,10.878,.94999999,70.199997,.92199999,.163,.67900002,.72500002,.163,AUT,91.199997,99,94.099998,92.099998,.28,81.300003,28.862,21.765268,49.900002,93.800003,71.400002,Austria,1,1,.28,28.862,1,49.900002,.078400001,4.5130548,4.5443583,.029112535
Austria,2014,6.9499998,10.877,.89899999,70.300003,.88499999,.112,.56699997,.72100002,.17,AUT,94.699997,98.900002,95.900002,95.800003,.274,81.599998,29.035999,21.922367,49.700001,95.699997,71.074997,Austria,1,1,.27399999,29.035999,1,49.700001,.075075991,4.550714,4.5633059,.018947968
Austria,2015,7.0760002,10.876,.92799997,70.400002,.89999998,.093000002,.55699998,.74800003,.164,AUT,100,100,100,100,.275,81.300003,29.061001,22.071707,48.799999,100,71.099998,Austria,1,1,.27500001,29.061001,1,48.799999,.075625002,4.6051702,4.6051702,.041864187
Austria,2016,7.0479999,10.885,.926,70.525002,.889,.074000001,.52399999,.713,.197,AUT,106.7,103.5,105.3,103.1,.284,81.800003,28.979,22.123238,47.900002,103.8,71.550003,Austria,1,1,.28400001,28.979,1,47.900002,.080656007,4.6700211,4.6568136,.051643264
Austria,2017,7.2940001,10.9,.90600002,70.650002,.88999999,.12800001,.51800001,.699,.18000001,AUT,112.1,104.5,108.7,107.3,.275,81.699997,28.613001,22.278522,47.400002,106.8,72.199997,Austria,1,1,.27500001,28.613001,1,47.400002,.075625002,4.7193913,4.688592,.031778317
Austria,2018,7.3959999,10.919,.912,70.775002,.90399998,.048,.523,.69499999,.226,AUT,118.8,106.7,112.8,111.3,.28,81.800003,28.385,22.246086,47.799999,109.7,73.025002,Austria,1,1,.28,28.385,1,47.799999,.078400001,4.7774415,4.7256165,.037024599
Austria,2019,7.1950002,10.93,.96399999,70.900002,.903,.054000001,.45699999,.727,.205,AUT,126,109.9,117.5,114.6,.274,82,28.552,22.50852,47.799999,114.6,73.525002,Austria,1,1,.27399999,28.552,1,47.799999,.075075991,4.8362818,4.7664385,.040821966
Belgium,2012,6.9349999,10.783,.92699999,69.519997,.85500002,-.056000002,.75800002,.71799999,.23800001,BEL,97.099998,101.4,99.599998,95.699997,,80.5,27.966999,24.738842,67.199997,99,61.825001,Belgium,0,1,0,27.966999,1,67.199997,0,4.5757413,4.601162,
Belgium,2013,7.1040001,10.783,.90899998,69.68,.89099997,.011,.574,.73799998,.21699999,BEL,98.599998,101.6,100.1,97,,80.699997,28.344999,24.801533,66.800003,100,61.799999,Belgium,0,1,0,28.344999,1,66.800003,0,4.5910711,4.6061697,.0050075217
Belgium,2014,6.855,10.794,.94400001,69.839996,.861,-.0049999999,.51200002,.74400002,.252,BEL,98.199997,99.199997,99,99,,81.400002,28.399,24.101072,66.099998,98.800003,61.900002,Belgium,0,1,0,28.399,1,66.099998,0,4.5870061,4.59512,-.011049821
Belgium,2015,6.9039998,10.809,.88499999,70,.86900002,.056000002,.46900001,.74699998,.23999999,BEL,100,100,100,100,,81.099998,29.059999,23.934765,65.900002,100,61.799999,Belgium,0,1,0,29.059999,1,65.900002,0,4.6051702,4.6051702,.010050336
Belgium,2016,6.9489999,10.816,.92900002,70.150002,.866,-.061999999,.49700001,.70099998,.25999999,BEL,102.3,101.4,100.8,100.9,,81.5,28.43,23.746279,66.199997,99.800003,62.299999,Belgium,0,1,0,28.43,1,66.199997,0,4.6279097,4.6131382,.0079682004
Belgium,2017,6.928,10.829,.92199999,70.300003,.85699999,.048999999,.54299998,.713,.234,BEL,105.9,103.8,102.3,102,,81.599998,28.280001,23.848291,67.800003,100.1,63.125,Belgium,0,1,0,28.280001,1,67.800003,0,4.6624951,4.6279097,.014771317
Belgium,2018,6.8920002,10.842,.93000001,70.449997,.80800003,-.13,.63,.68199998,.25,BEL,109.1,105.9,103.3,103.1,.258,81.699997,28.360001,23.90361,67.300003,100.2,64.449997,Belgium,1,1,.25799999,28.360001,1,67.300003,.066563994,4.692265,4.6376376,.0097277025
Belgium,2019,6.7719998,10.859,.884,70.599998,.77600002,-.178,.67199999,.699,.244,BEL,113.2,108.7,105.6,104.2,.262,82.099998,28.222,23.745995,66.300003,100.1,65.300003,Belgium,1,1,.26199999,28.222,1,66.300003,.068643995,4.729156,4.6596584,.022020951
Canada,2012,7.415,10.739,.94800001,70.919998,.91799998,.28400001,.46599999,.77600002,.229,CAN,87.599998,91.400002,91.5,95.900002,.317,81.800003,17.222,23.830967,69.599998,95.300003,72.316673,Canada,1,1,.317,17.222,1,69.599998,.100489,4.4727812,4.5163388,
Canada,2013,7.5939999,10.752,.93599999,70.980003,.91600001,.31,.40599999,.801,.26300001,CAN,90.099998,92.5,92.800003,97.400002,.319,81.800003,16.986,24.047527,69.099998,95.099998,72.716667,Canada,1,1,.31900001,16.986,1,69.099998,.10176101,4.5009203,4.5304465,.0141077
Canada,2014,7.3039999,10.77,.91799998,71.040001,.93900001,.264,.442,.79100001,.259,CAN,94.900002,96,95.900002,98.800003,.312,81.900002,16.913,24.127289,69.800003,97.900002,72.5,Canada,1,1,.31200001,16.913,1,69.800003,.097344004,4.5528235,4.5633059,.032859325
Canada,2015,7.4130001,10.769,.93900001,71.099998,.93099999,.24699999,.42699999,.792,.28600001,CAN,100,100,100,100,.318,81.900002,17.934,24.231375,69.099998,100,72.741669,Canada,1,1,.31799999,17.934,1,69.099998,.101124,4.6051702,4.6051702,.041864187
