"countryname","year","lifeladder","loggdppercapita","socialsupport","healthylifeexpectancyatbirth","freedomtomakelifechoices","generosity","perceptionsofcorruption","positiveaffect","negativeaffect","code","house_price","ptr_ratio","r_house_price","rent_price","gini","life_expectancy","social_expenditure","housing_expenditure_ratio","ownership","pri_ratio","employment_rate","idcode","gini_dum","social_expenditure_dum","gini_dum_int","socialexp_dum_int","owner_dum","owner_dum_int","gini_dum_int_sq","soci_ex_2"
"Australia",2012,7.1960001,10.744,0.94499999,70.360001,0.935,0.26800001,0.368,0.72799999,0.214,"AUS",78.900002,84.900002,83.099998,92.900002,0.326,82,21.063999,23.355175,62.900002,85.199997,72.345581,"Australia",1,1,0.32600001,21.063999,1,62.900002,0.10627601,47.6
"Australia",2013,7.3639998,10.752,0.92799997,70.440002,0.93300003,0.26300001,0.43200001,0.76999998,0.177,"AUS",84.099998,87.599998,86.599998,96,NA,82.099998,21.326,23.455395,62.400002,88.400002,71.970444,"Australia",0,1,0,21.326,1,62.400002,0,47.2
"Australia",2014,7.289,10.763,0.92400002,70.519997,0.92299998,0.31299999,0.442,0.74000001,0.245,"AUS",91.699997,93.199997,92.900002,98.400002,0.337,82.300003,22.372999,23.435438,62.799999,93.099998,71.566353,"Australia",1,1,0.33700001,22.372999,1,62.799999,0.11356901,48.4
"Australia",2015,7.309,10.77,0.95200002,70.599998,0.92199999,0.32699999,0.35699999,0.75,0.20999999,"AUS",100,100,100,100,NA,82.400002,22.962,23.331327,63.5,100,72.157959,"Australia",0,1,0,22.962,1,63.5,0,48.5
"Australia",2016,7.25,10.781,0.94199997,70.675003,0.92199999,0.233,0.39899999,0.736,0.236,"AUS",105.5,104.7,104.8,100.8,0.33,82.400002,22.414,23.403124,63,105.1,72.384537,"Australia",1,1,0.33000001,22.414,1,63,0.10890001,47.5
"Australia",2017,7.257,10.787,0.94999999,70.75,0.91100001,0.31200001,0.41100001,0.72799999,0.22499999,"AUS",114.3,112.7,112.2,101.4,NA,82.5,21.674,23.610359,62.799999,112.4,72.771057,"Australia",0,1,0,21.674,1,62.799999,0,46.2
"Australia",2018,7.177,10.801,0.94,70.824997,0.91600001,0.141,0.405,0.70599997,0.18700001,"AUS",112.7,110.4,108.8,102.1,0.325,82.699997,21.062,23.712233,62.5,107.6,73.489258,"Australia",1,1,0.32499999,21.062,1,62.5,0.10562499,45.2
"Australia",2019,7.2340002,10.807,0.94300002,70.900002,0.91799998,0.115,0.43000001,0.727,0.20200001,"AUS",108.1,105.5,102.5,102.4,NA,82.900002,24.212999,24.914545,62.700001,100.5,74.110626,"Australia",0,1,0,24.212999,1,62.700001,0,49
"Austria",2012,7.401,10.884,0.94499999,70.099998,0.92000002,0.112,0.77100003,0.71200001,0.15700001,"AUT",86.900002,97.199997,91.400002,89.300003,0.276,81.099998,28.424999,21.46044,49.599998,88.300003,71.425003,"Austria",1,1,0.27599999,28.424999,1,49.599998,0.076175995,53.9
"Austria",2013,7.4990001,10.878,0.94999999,70.199997,0.92199999,0.163,0.67900002,0.72500002,0.163,"AUT",91.199997,99,94.099998,92.099998,0.28,81.300003,28.862,21.765268,49.900002,93.800003,71.400002,"Austria",1,1,0.28,28.862,1,49.900002,0.078400001,54.3
"Austria",2014,6.9499998,10.877,0.89899999,70.300003,0.88499999,0.112,0.56699997,0.72100002,0.17,"AUT",94.699997,98.900002,95.900002,95.800003,0.274,81.599998,29.035999,21.922367,49.700001,95.699997,71.074997,"Austria",1,1,0.27399999,29.035999,1,49.700001,0.075075991,53.9
"Austria",2015,7.0760002,10.876,0.92799997,70.400002,0.89999998,0.093000002,0.55699998,0.74800003,0.164,"AUT",100,100,100,100,0.275,81.300003,29.061001,22.071707,48.799999,100,71.099998,"Austria",1,1,0.27500001,29.061001,1,48.799999,0.075625002,55.3
"Austria",2016,7.0479999,10.885,0.926,70.525002,0.889,0.074000001,0.52399999,0.713,0.197,"AUT",106.7,103.5,105.3,103.1,0.284,81.800003,28.979,22.123238,47.900002,103.8,71.550003,"Austria",1,1,0.28400001,28.979,1,47.900002,0.080656007,56.3
"Austria",2017,7.2940001,10.9,0.90600002,70.650002,0.88999999,0.12800001,0.51800001,0.699,0.18000001,"AUT",112.1,104.5,108.7,107.3,0.275,81.699997,28.613001,22.278522,47.400002,106.8,72.199997,"Austria",1,1,0.27500001,28.613001,1,47.400002,0.075625002,56.4
"Austria",2018,7.3959999,10.919,0.912,70.775002,0.90399998,0.048,0.523,0.69499999,0.226,"AUT",118.8,106.7,112.8,111.3,0.28,81.800003,28.385,22.246086,47.799999,109.7,73.025002,"Austria",1,1,0.28,28.385,1,47.799999,0.078400001,56.5
"Austria",2019,7.1950002,10.93,0.96399999,70.900002,0.903,0.054000001,0.45699999,0.727,0.205,"AUT",126,109.9,117.5,114.6,0.274,82,28.552,22.50852,47.799999,114.6,73.525002,"Austria",1,1,0.27399999,28.552,1,47.799999,0.075075991,57
"Belgium",2012,6.9349999,10.783,0.92699999,69.519997,0.85500002,-0.056000002,0.75800002,0.71799999,0.23800001,"BEL",97.099998,101.4,99.599998,95.699997,NA,80.5,27.966999,24.738842,67.199997,99,61.825001,"Belgium",0,1,0,27.966999,1,67.199997,0,49.5
"Belgium",2013,7.1040001,10.783,0.90899998,69.68,0.89099997,0.011,0.574,0.73799998,0.21699999,"BEL",98.599998,101.6,100.1,97,NA,80.699997,28.344999,24.801533,66.800003,100,61.799999,"Belgium",0,1,0,28.344999,1,66.800003,0,50.5
"Belgium",2014,6.855,10.794,0.94400001,69.839996,0.861,-0.0049999999,0.51200002,0.74400002,0.252,"BEL",98.199997,99.199997,99,99,NA,81.400002,28.399,24.101072,66.099998,98.800003,61.900002,"Belgium",0,1,0,28.399,1,66.099998,0,51.1
"Belgium",2015,6.9039998,10.809,0.88499999,70,0.86900002,0.056000002,0.46900001,0.74699998,0.23999999,"BEL",100,100,100,100,NA,81.099998,29.059999,23.934765,65.900002,100,61.799999,"Belgium",0,1,0,29.059999,1,65.900002,0,54.1
"Belgium",2016,6.9489999,10.816,0.92900002,70.150002,0.866,-0.061999999,0.49700001,0.70099998,0.25999999,"BEL",102.3,101.4,100.8,100.9,NA,81.5,28.43,23.746279,66.199997,99.800003,62.299999,"Belgium",0,1,0,28.43,1,66.199997,0,53.5
"Belgium",2017,6.928,10.829,0.92199999,70.300003,0.85699999,0.048999999,0.54299998,0.713,0.234,"BEL",105.9,103.8,102.3,102,NA,81.599998,28.280001,23.848291,67.800003,100.1,63.125,"Belgium",0,1,0,28.280001,1,67.800003,0,54.3
"Belgium",2018,6.8920002,10.842,0.93000001,70.449997,0.80800003,-0.13,0.63,0.68199998,0.25,"BEL",109.1,105.9,103.3,103.1,0.258,81.699997,28.360001,23.90361,67.300003,100.2,64.449997,"Belgium",1,1,0.25799999,28.360001,1,67.300003,0.066563994,54.3
"Belgium",2019,6.7719998,10.859,0.884,70.599998,0.77600002,-0.178,0.67199999,0.699,0.244,"BEL",113.2,108.7,105.6,104.2,0.262,82.099998,28.222,23.745995,66.300003,100.1,65.300003,"Belgium",1,1,0.26199999,28.222,1,66.300003,0.068643995,54.4
"Canada",2012,7.415,10.739,0.94800001,70.919998,0.91799998,0.28400001,0.46599999,0.77600002,0.229,"CAN",87.599998,91.400002,91.5,95.900002,0.317,81.800003,17.222,23.830967,69.599998,95.300003,72.316673,"Canada",1,1,0.317,17.222,1,69.599998,0.100489,41.5
"Canada",2013,7.5939999,10.752,0.93599999,70.980003,0.91600001,0.31,0.40599999,0.801,0.26300001,"CAN",90.099998,92.5,92.800003,97.400002,0.319,81.800003,16.986,24.047527,69.099998,95.099998,72.716667,"Canada",1,1,0.31900001,16.986,1,69.099998,0.10176101,42.1
"Canada",2014,7.3039999,10.77,0.91799998,71.040001,0.93900001,0.264,0.442,0.79100001,0.259,"CAN",94.900002,96,95.900002,98.800003,0.312,81.900002,16.913,24.127289,69.800003,97.900002,72.5,"Canada",1,1,0.31200001,16.913,1,69.800003,0.097344004,42.7
"Canada",2015,7.4130001,10.769,0.93900001,71.099998,0.93099999,0.24699999,0.42699999,0.792,0.28600001,"CAN",100,100,100,100,0.318,81.900002,17.934,24.231375,69.099998,100,72.741669,"Canada",1,1,0.31799999,17.934,1,69.099998,0.101124,43.7
"Canada",2016,7.2449999,10.768,0.92400002,71.150002,0.912,0.205,0.38499999,0.76800001,0.237,"CAN",110,109.3,109.1,100.7,0.307,82,18.296,24.23506,68.099998,111,72.675003,"Canada",1,1,0.30700001,18.296,1,68.099998,0.09424901,44.1
"Canada",2017,7.415,10.786,0.93400002,71.199997,0.94499999,0.15700001,0.36199999,0.79900002,0.21799999,"CAN",122.7,121.1,120.4,101.3,0.31,81.900002,18.028999,23.912947,68.800003,119.5,73.566673,"Canada",1,1,0.31,18.028999,1,68.800003,0.096100003,43.6
"Canada",2018,7.1750002,10.799,0.92299998,71.25,0.94599998,0.1,0.37200001,0.773,0.259,"CAN",127.2,124.1,122.9,102.5,0.304,81.900002,18.004,23.838188,69.199997,122.1,74.025002,"Canada",1,1,0.30399999,18.004,1,69.199997,0.092415996,43.4
"Canada",2019,7.1090002,10.803,0.92500001,71.300003,0.912,0.105,0.43599999,0.78100002,0.285,"CAN",129,122.6,122.7,105.3,0.3,82.300003,18.784,24.239151,69.599998,120.1,74.599998,"Canada",1,1,0.30000001,18.784,1,69.599998,0.090000004,42.3
"Colombia",2012,6.375,9.4680004,0.91399997,67.639999,0.82800001,-0.015,0.86799997,0.829,0.294,"COL",77.699997,86.099998,87,90.199997,NA,74.699997,13.742,15.963941,43.400002,94.699997,66.014999,"Colombia",0,1,0,13.742,1,43.400002,0,32.2
