"Country name","year","Life Ladder","Log GDP per capita","Social support","Healthy life expectancy at birth","Freedom to make life choices","Generosity","Perceptions of corruption","Positive affect","Negative affect","area"
"Australia",2005,7.341,10.662,0.968,69.8,0.935,NA,0.39,0.77,0.238,"AUS"
"Australia",2007,7.285,10.694,0.965,69.96,0.891,0.342,0.513,0.762,0.215,"AUS"
"Australia",2008,7.254,10.709,0.947,70.04,0.916,0.3,0.431,0.729,0.218,"AUS"
"Australia",2010,7.45,10.714,0.955,70.2,0.932,0.311,0.366,0.762,0.22,"AUS"
"Australia",2011,7.406,10.723,0.967,70.28,0.945,0.364,0.382,0.724,0.195,"AUS"
"Australia",2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,"AUS"
"Australia",2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,"AUS"
"Australia",2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,"AUS"
"Australia",2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,"AUS"
"Australia",2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,"AUS"
"Australia",2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,"AUS"
"Australia",2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,"AUS"
"Australia",2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,"AUS"
"Australia",2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,"AUS"
"Australia",2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,"AUS"
"Australia",2022,7.035,10.84,0.942,71.125,0.854,0.153,0.545,0.711,0.244,"AUS"
"Australia",2023,7.025,10.846,0.896,71.2,0.876,0.187,0.482,0.731,0.248,"AUS"
"Austria",2006,7.122,10.836,0.936,69.5,0.941,0.297,0.49,0.746,0.174,"AUT"
"Austria",2008,7.181,10.881,0.935,69.7,0.879,0.286,0.614,0.716,0.173,"AUT"
"Austria",2010,7.303,10.856,0.914,69.9,0.896,0.125,0.546,0.71,0.156,"AUT"
"Austria",2011,7.471,10.881,0.944,70,0.939,0.126,0.703,0.672,0.145,"AUT"
"Austria",2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,"AUT"
"Austria",2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,"AUT"
"Austria",2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,"AUT"
"Austria",2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557,0.748,0.164,"AUT"
"Austria",2016,7.048,10.885,0.926,70.525,0.889,0.074,0.524,0.713,0.197,"AUT"
"Austria",2017,7.294,10.9,0.906,70.65,0.89,0.128,0.518,0.699,0.18,"AUT"
"Austria",2018,7.396,10.919,0.912,70.775,0.904,0.048,0.523,0.695,0.226,"AUT"
"Austria",2019,7.195,10.93,0.964,70.9,0.903,0.054,0.457,0.727,0.205,"AUT"
"Austria",2020,7.213,10.859,0.925,71.025,0.912,0.004,0.464,0.716,0.206,"AUT"
"Austria",2021,7.08,10.899,0.863,71.15,0.795,0.158,0.501,0.722,0.259,"AUT"
"Austria",2022,6.999,10.938,0.876,71.275,0.856,0.137,0.524,0.718,0.226,"AUT"
"Austria",2023,6.636,10.93,0.874,71.4,0.874,0.209,0.529,0.712,0.24,"AUT"
"Belgium",2005,7.262,10.744,0.935,68.4,0.924,NA,0.598,0.677,0.26,"BEL"
"Belgium",2007,7.219,10.791,0.922,68.72,0.901,0.064,0.721,0.744,0.218,"BEL"
"Belgium",2008,7.117,10.788,0.923,68.88,0.887,0.001,0.652,0.709,0.242,"BEL"
"Belgium",2010,6.854,10.778,0.931,69.2,0.807,0.016,0.697,0.793,0.24,"BEL"
"Belgium",2011,7.111,10.782,0.937,69.36,0.88,-0.02,0.711,0.752,0.225,"BEL"
"Belgium",2012,6.935,10.783,0.927,69.52,0.855,-0.056,0.758,0.718,0.238,"BEL"
"Belgium",2013,7.104,10.783,0.909,69.68,0.891,0.011,0.574,0.738,0.217,"BEL"
"Belgium",2014,6.855,10.794,0.944,69.84,0.861,-0.005,0.512,0.744,0.252,"BEL"
"Belgium",2015,6.904,10.809,0.885,70,0.869,0.056,0.469,0.747,0.24,"BEL"
"Belgium",2016,6.949,10.816,0.929,70.15,0.866,-0.062,0.497,0.701,0.26,"BEL"
"Belgium",2017,6.928,10.829,0.922,70.3,0.857,0.049,0.543,0.713,0.234,"BEL"
"Belgium",2018,6.892,10.842,0.93,70.45,0.808,-0.13,0.63,0.682,0.25,"BEL"
"Belgium",2019,6.772,10.859,0.884,70.6,0.776,-0.178,0.672,0.699,0.244,"BEL"
