"Country.name","year","Life.Ladder","Log.GDP.per.capita","Social.support","Healthy.life.expectancy.at.birth","Freedom.to.make.life.choices","Generosity","Perceptions.of.corruption","Positive.affect","Negative.affect","code","house_price","pri_ratio","ptr_ratio","r_house_price","Rent_price","employment_rate","gini","life_expectancy","social_expenditure"
"Australia",2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,"AUS",78.9,85.2,84.9,83.1,92.9,72.34558,0.326,-4.4,21.064
"Australia",2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,"AUS",78.9,85.2,84.9,83.1,92.9,72.34558,0.326,82,21.064
"Australia",2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,"AUS",78.9,85.2,84.9,83.1,92.9,72.34558,0.326,4.4,21.064
"Australia",2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,"AUS",84.1,88.4,87.6,86.6,96,71.97044,NA,-4.2,21.326
"Australia",2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,"AUS",84.1,88.4,87.6,86.6,96,71.97044,NA,82.1,21.326
"Australia",2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,"AUS",84.1,88.4,87.6,86.6,96,71.97044,NA,4.2,21.326
"Australia",2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,"AUS",91.7,93.1,93.2,92.9,98.4,71.56635,0.337,-4.1,22.373
"Australia",2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,"AUS",91.7,93.1,93.2,92.9,98.4,71.56635,0.337,82.3,22.373
"Australia",2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,"AUS",91.7,93.1,93.2,92.9,98.4,71.56635,0.337,4.1,22.373
"Australia",2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,"AUS",100,100,100,100,100,72.15796,NA,-4.1,22.962
"Australia",2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,"AUS",100,100,100,100,100,72.15796,NA,82.4,22.962
"Australia",2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,"AUS",100,100,100,100,100,72.15796,NA,4.1,22.962
"Australia",2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,"AUS",105.5,105.1,104.7,104.8,100.8,72.38454,0.33,-4.2,22.414
"Australia",2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,"AUS",105.5,105.1,104.7,104.8,100.8,72.38454,0.33,82.4,22.414
"Australia",2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,"AUS",105.5,105.1,104.7,104.8,100.8,72.38454,0.33,4.2,22.414
"Australia",2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,"AUS",114.3,112.4,112.7,112.2,101.4,72.77106,NA,-4.1,21.674
"Australia",2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,"AUS",114.3,112.4,112.7,112.2,101.4,72.77106,NA,82.5,21.674
"Australia",2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,"AUS",114.3,112.4,112.7,112.2,101.4,72.77106,NA,4.1,21.674
"Australia",2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,"AUS",112.7,107.6,110.4,108.8,102.1,73.48926,0.325,-4.2,21.062
"Australia",2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,"AUS",112.7,107.6,110.4,108.8,102.1,73.48926,0.325,82.7,21.062
"Australia",2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,"AUS",112.7,107.6,110.4,108.8,102.1,73.48926,0.325,4.2,21.062
"Australia",2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,"AUS",108.1,100.5,105.5,102.5,102.4,74.11063,NA,-4.1,24.213
"Australia",2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,"AUS",108.1,100.5,105.5,102.5,102.4,74.11063,NA,82.9,24.213
"Australia",2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,"AUS",108.1,100.5,105.5,102.5,102.4,74.11063,NA,4.1,24.213
"Australia",2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,"AUS",113.9,100.2,112.3,106.7,101.5,72.35858,0.318,-4.1,NA
"Australia",2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,"AUS",113.9,100.2,112.3,106.7,101.5,72.35858,0.318,83.2,NA
"Australia",2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,"AUS",113.9,100.2,112.3,106.7,101.5,72.35858,0.318,4.1,NA
"Australia",2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,"AUS",133.8,113.4,132.1,122.8,101.3,74.58255,NA,-4.1,NA
"Australia",2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,"AUS",133.8,113.4,132.1,122.8,101.3,74.58255,NA,83.3,NA
"Australia",2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,"AUS",133.8,113.4,132.1,122.8,101.3,74.58255,NA,4.1,NA
"Australia",2022,7.035,10.84,0.942,71.125,0.854,0.153,0.545,0.711,0.244,"AUS",142.7,118,137.7,124.5,103.6,76.9099,NA,-4.1,NA
"Australia",2022,7.035,10.84,0.942,71.125,0.854,0.153,0.545,0.711,0.244,"AUS",142.7,118,137.7,124.5,103.6,76.9099,NA,83.2,NA
"Australia",2022,7.035,10.84,0.942,71.125,0.854,0.153,0.545,0.711,0.244,"AUS",142.7,118,137.7,124.5,103.6,76.9099,NA,4.1,NA
"Australia",2023,7.025,10.846,0.896,71.2,0.876,0.187,0.482,0.731,0.248,"AUS",144.5,120,130.7,119.1,110.5,77.20457,NA,NA,NA
"Austria",2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,"AUT",86.9,88.3,97.2,91.4,89.3,71.425,0.276,81.1,28.425
"Austria",2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,"AUT",86.9,88.3,97.2,91.4,89.3,71.425,0.276,5.2,28.425
"Austria",2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,"AUT",86.9,88.3,97.2,91.4,89.3,71.425,0.276,-5.2,28.425
"Austria",2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,"AUT",91.2,93.8,99,94.1,92.1,71.4,0.28,81.3,28.862
"Austria",2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,"AUT",91.2,93.8,99,94.1,92.1,71.4,0.28,5.2,28.862
"Austria",2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,"AUT",91.2,93.8,99,94.1,92.1,71.4,0.28,-5.2,28.862
"Austria",2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,"AUT",94.7,95.7,98.9,95.9,95.8,71.075,0.274,81.6,29.036
"Austria",2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,"AUT",94.7,95.7,98.9,95.9,95.8,71.075,0.274,4.9,29.036
"Austria",2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,"AUT",94.7,95.7,98.9,95.9,95.8,71.075,0.274,-4.9,29.036
"Austria",2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557,0.748,0.164,"AUT",100,100,100,100,100,71.1,0.275,81.3,29.061
