Country.name,year,Life.Ladder,Log.GDP.per.capita,Social.support,Healthy.life.expectancy.at.birth,Freedom.to.make.life.choices,Generosity,Perceptions.of.corruption,Positive.affect,Negative.affect,code,house_price,pri_ratio,ptr_ratio,r_house_price,Rent_price,employment_rate,gini,life_expectancy,social_expenditure,housing_expenditure_ratio
Australia,2012,7.196,10.744,0.945,70.36,0.935,0.268,0.368,0.728,0.214,AUS,78.9,85.2,84.9,83.1,92.9,72.34558,0.326,82,21.064,23.35517575
Australia,2013,7.364,10.752,0.928,70.44,0.933,0.263,0.432,0.77,0.177,AUS,84.1,88.4,87.6,86.6,96,71.97044,NA,82.1,21.326,23.45539559
Australia,2014,7.289,10.763,0.924,70.52,0.923,0.313,0.442,0.74,0.245,AUS,91.7,93.1,93.2,92.9,98.4,71.56635,0.337,82.3,22.373,23.43543889
Australia,2015,7.309,10.77,0.952,70.6,0.922,0.327,0.357,0.75,0.21,AUS,100,100,100,100,100,72.15796,NA,82.4,22.962,23.33132803
Australia,2016,7.25,10.781,0.942,70.675,0.922,0.233,0.399,0.736,0.236,AUS,105.5,105.1,104.7,104.8,100.8,72.38454,0.33,82.4,22.414,23.40312355
Australia,2017,7.257,10.787,0.95,70.75,0.911,0.312,0.411,0.728,0.225,AUS,114.3,112.4,112.7,112.2,101.4,72.77106,NA,82.5,21.674,23.61035972
Australia,2018,7.177,10.801,0.94,70.825,0.916,0.141,0.405,0.706,0.187,AUS,112.7,107.6,110.4,108.8,102.1,73.48926,0.325,82.7,21.062,23.71223339
Australia,2019,7.234,10.807,0.943,70.9,0.918,0.115,0.43,0.727,0.202,AUS,108.1,100.5,105.5,102.5,102.4,74.11063,NA,82.9,24.213,24.91454567
Australia,2020,7.137,10.794,0.937,70.975,0.905,0.202,0.491,0.726,0.205,AUS,113.9,100.2,112.3,106.7,101.5,72.35858,0.318,83.2,NA,25.0482226
Australia,2021,7.112,10.815,0.92,71.05,0.912,0.234,0.454,0.74,0.235,AUS,133.8,113.4,132.1,122.8,101.3,74.58255,NA,83.3,NA,24.13026983
Austria,2012,7.401,10.884,0.945,70.1,0.92,0.112,0.771,0.712,0.157,AUT,86.9,88.3,97.2,91.4,89.3,71.425,0.276,81.1,28.425,21.46043958
Austria,2013,7.499,10.878,0.95,70.2,0.922,0.163,0.679,0.725,0.163,AUT,91.2,93.8,99,94.1,92.1,71.4,0.28,81.3,28.862,21.76526765
Austria,2014,6.95,10.877,0.899,70.3,0.885,0.112,0.567,0.721,0.17,AUT,94.7,95.7,98.9,95.9,95.8,71.075,0.274,81.6,29.036,21.92236624
Austria,2015,7.076,10.876,0.928,70.4,0.9,0.093,0.557,0.748,0.164,AUT,100,100,100,100,100,71.1,0.275,81.3,29.061,22.07170702
Austria,2016,7.048,10.885,0.926,70.525,0.889,0.074,0.524,0.713,0.197,AUT,106.7,103.8,103.5,105.3,103.1,71.55,0.284,81.8,28.979,22.12323741
Austria,2017,7.294,10.9,0.906,70.65,0.89,0.128,0.518,0.699,0.18,AUT,112.1,106.8,104.5,108.7,107.3,72.2,0.275,81.7,28.613,22.27852156
Austria,2018,7.396,10.919,0.912,70.775,0.904,0.048,0.523,0.695,0.226,AUT,118.8,109.7,106.7,112.8,111.3,73.025,0.28,81.8,28.385,22.24608644
Austria,2019,7.195,10.93,0.964,70.9,0.903,0.054,0.457,0.727,0.205,AUT,126,114.6,109.9,117.5,114.6,73.525,0.274,82,28.552,22.50851957
Austria,2020,7.213,10.859,0.925,71.025,0.912,0.004,0.464,0.716,0.206,AUT,135.5,123.5,113.5,125.2,119.3,71.725,0.272,81.3,NA,25.41378304
Austria,2021,7.08,10.899,0.863,71.15,0.795,0.158,0.501,0.722,0.259,AUT,151,132.4,124.1,136.7,121.7,72.4,0.281,81.3,NA,25.70515808
Belgium,2012,6.935,10.783,0.927,69.52,0.855,-0.056,0.758,0.718,0.238,BEL,97.1,99,101.4,99.6,95.7,61.825,NA,80.5,27.967,24.73884224
Belgium,2013,7.104,10.783,0.909,69.68,0.891,0.011,0.574,0.738,0.217,BEL,98.6,100,101.6,100.1,97,61.8,NA,80.7,28.345,24.80153242
Belgium,2014,6.855,10.794,0.944,69.84,0.861,-0.005,0.512,0.744,0.252,BEL,98.2,98.8,99.2,99,99,61.9,NA,81.4,28.399,24.10107206
Belgium,2015,6.904,10.809,0.885,70,0.869,0.056,0.469,0.747,0.24,BEL,100,100,100,100,100,61.8,NA,81.1,29.06,23.93476483
Belgium,2016,6.949,10.816,0.929,70.15,0.866,-0.062,0.497,0.701,0.26,BEL,102.3,99.8,101.4,100.8,100.9,62.3,NA,81.5,28.43,23.74627871
Belgium,2017,6.928,10.829,0.922,70.3,0.857,0.049,0.543,0.713,0.234,BEL,105.9,100.1,103.8,102.3,102,63.125,NA,81.6,28.28,23.8482916
Belgium,2018,6.892,10.842,0.93,70.45,0.808,-0.13,0.63,0.682,0.25,BEL,109.1,100.2,105.9,103.3,103.1,64.45,0.258,81.7,28.36,23.90360981
Belgium,2019,6.772,10.859,0.884,70.6,0.776,-0.178,0.672,0.699,0.244,BEL,113.2,100.1,108.7,105.6,104.2,65.3,0.262,82.1,28.222,23.74599368
Belgium,2020,6.839,10.799,0.904,70.75,0.767,-0.172,0.634,0.619,0.26,BEL,118.1,102.9,110.4,109.1,107,64.45,0.248,80.8,NA,25.47757396
Belgium,2021,6.882,10.856,0.915,70.9,0.823,0.077,0.523,0.687,0.26,BEL,126,104.7,115.4,113.4,109.2,65.3,0.256,81.9,NA,25.25394109
Canada,2012,7.415,10.739,0.948,70.92,0.918,0.284,0.466,0.776,0.229,CAN,87.6,95.3,91.4,91.5,95.9,72.31667,0.317,81.8,17.222,23.83096707
Canada,2013,7.594,10.752,0.936,70.98,0.916,0.31,0.406,0.801,0.263,CAN,90.1,95.1,92.5,92.8,97.4,72.71667,0.319,81.8,16.986,24.04752757
Canada,2014,7.304,10.77,0.918,71.04,0.939,0.264,0.442,0.791,0.259,CAN,94.9,97.9,96,95.9,98.8,72.5,0.312,81.9,16.913,24.12728892
Canada,2015,7.413,10.769,0.939,71.1,0.931,0.247,0.427,0.792,0.286,CAN,100,100,100,100,100,72.74167,0.318,81.9,17.934,24.23137503
Canada,2016,7.245,10.768,0.924,71.15,0.912,0.205,0.385,0.768,0.237,CAN,110,111,109.3,109.1,100.7,72.675,0.307,82,18.296,24.23505986
Canada,2017,7.415,10.786,0.934,71.2,0.945,0.157,0.362,0.799,0.218,CAN,122.7,119.5,121.1,120.4,101.3,73.56667,0.31,81.9,18.029,23.91294725
Canada,2018,7.175,10.799,0.923,71.25,0.946,0.1,0.372,0.773,0.259,CAN,127.2,122.1,124.1,122.9,102.5,74.025,0.304,81.9,18.004,23.83818811
Canada,2019,7.109,10.803,0.925,71.3,0.912,0.105,0.436,0.781,0.285,CAN,129,120.1,122.6,122.7,105.3,74.6,0.3,82.3,18.784,24.23915161
Canada,2020,7.025,10.74,0.931,71.35,0.887,0.043,0.434,0.738,0.307,CAN,137.4,120.4,128.4,129.7,107,70.125,0.28,81.7,24.911,26.56053999
Canada,2021,6.939,10.783,0.926,71.4,0.898,0.189,0.384,0.763,0.276,CAN,157.6,134.1,144.8,144.6,108.8,73.475,0.292,81.6,NA,25.57092382
Colombia,2012,6.375,9.468,0.914,67.64,0.828,-0.015,0.868,0.829,0.294,COL,77.7,94.7,86.1,87,90.2,66.015,NA,74.7,13.742,15.96394073
Colombia,2013,6.607,9.508,0.901,67.86,0.841,-0.076,0.898,0.815,0.278,COL,85.1,97.4,90.9,93.2,93.6,66.21416,NA,75,14.472,16.08852062
Colombia,2014,6.449,9.542,0.907,68.08,0.801,-0.096,0.887,0.825,0.278,COL,92,99.9,95.1,97.7,96.7,66.71,NA,75.2,15.416,16.0509213
Colombia,2015,6.388,9.562,0.89,68.3,0.791,-0.106,0.843,0.803,0.292,COL,100,100,100,100,100,67.385,NA,75.4,15.892,15.78990956
Colombia,2016,6.234,9.572,0.882,68.475,0.835,-0.106,0.898,0.77,0.294,COL,109.6,104.3,105.4,102.9,104,67.0325,NA,75.7,15.541,15.84931211
Colombia,2017,6.157,9.57,0.909,68.65,0.838,-0.163,0.875,0.79,0.299,COL,117,104.8,108,105.9,108.3,66.93333,NA,75.9,15.555,15.99369586
Colombia,2018,5.984,9.577,0.871,68.825,0.851,-0.154,0.855,0.775,0.301,COL,123.3,105.3,109.9,108.1,112.3,66.45084,NA,76.5,15.202,16.20715934
Colombia,2019,6.35,9.59,0.873,69,0.822,-0.177,0.854,0.791,0.322,COL,130,106.5,112.5,109.6,115.6,65.36667,NA,76.6,15.807,16.05039338
Colombia,2020,5.709,9.5,0.797,69.175,0.84,-0.091,0.808,0.759,0.34,COL,133.2,111.4,113,109.9,117.9,57.83167,NA,76.7,18.799,17.00971455
Colombia,2021,5.29,9.593,0.793,69.35,0.775,-0.065,0.831,0.752,0.348,COL,141.1,104.7,118,109,119.6,57.84833,NA,76.8,16.785,15.02412663
Czechia,2012,6.334,10.425,0.912,67.94,0.74,-0.16,0.957,0.635,0.257,CZE,93.8,100.2,97.5,96.1,96.3,66.55,0.254,78.1,20.605,27.74252905
Czechia,2013,6.698,10.424,0.888,68.06,0.726,-0.162,0.916,0.656,0.253,CZE,93.9,100.4,95.5,95.5,98.3,67.725,0.259,78.3,21.033,27.66517797
Czechia,2014,6.484,10.445,0.878,68.18,0.8,-0.174,0.897,0.638,0.235,CZE,96.2,98.9,97,96.7,99.2,68.975,0.257,78.9,20.457,26.52707104
Czechia,2015,6.608,10.496,0.911,68.3,0.808,-0.152,0.886,0.689,0.206,CZE,100,100,100,100,100,70.225,0.258,78.7,19.673,26.24463856
Czechia,2016,6.736,10.519,0.931,68.425,0.85,-0.204,0.9,0.71,0.201,CZE,107.2,103.1,105.9,106,101.2,71.95,0.253,79.1,19.315,26.09545903
Czechia,2017,6.79,10.567,0.901,68.55,0.832,-0.183,0.867,0.672,0.227,CZE,119.7,106.7,115.8,115,103.4,73.625,0.249,79.1,19.37,25.91202544
Czechia,2018,7.034,10.595,0.929,68.675,0.79,-0.299,0.851,0.674,0.178,CZE,130,108.1,122.1,121.4,106.4,74.825,0.249,79.1,19.525,26.51678418
Czechia,2020,6.897,10.562,0.964,68.925,0.906,-0.135,0.884,0.748,0.29,CZE,153.9,115.5,135.2,135.5,113.8,74.4,0.255,78.2,NA,28.34785198
Czechia,2021,6.942,10.615,0.95,69.05,0.891,0.157,0.863,0.716,0.24,CZE,184.2,126.6,158,155.7,116.5,74.4,0.255,77.2,NA,27.99047411
Denmark,2012,7.52,10.844,0.951,69.84,0.933,0.133,0.187,0.783,0.209,DNK,86.7,91.8,91.8,88,94.5,71.025,0.249,80.2,32.105,29.52881352
